"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Apr 24 06:01:27 UTC 2024","Wed Apr 24 06:01:27 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"skipped","Wed Apr 24 08:33:00 UTC 2024","Wed Apr 24 08:33:00 UTC 2024","1","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Wed Apr 24 06:54:22 UTC 2024","Wed Apr 24 06:58:30 UTC 2024","248121","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Wed Apr 24 06:48:22 UTC 2024","Wed Apr 24 06:48:25 UTC 2024","2874","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"failed","Wed Apr 24 06:49:08 UTC 2024","Wed Apr 24 06:51:40 UTC 2024","152299","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Wed Apr 24 07:01:16 UTC 2024","Wed Apr 24 07:01:19 UTC 2024","2450","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Wed Apr 24 07:01:06 UTC 2024","Wed Apr 24 07:01:16 UTC 2024","9666","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Wed Apr 24 06:48:08 UTC 2024","Wed Apr 24 06:48:19 UTC 2024","11422","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Wed Apr 24 07:35:19 UTC 2024","Wed Apr 24 07:35:55 UTC 2024","36396","","21. Forgot password function","","","","2. Reset password",""
"skipped","Wed Apr 24 06:24:30 UTC 2024","Wed Apr 24 06:24:30 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"skipped","Wed Apr 24 06:01:27 UTC 2024","Wed Apr 24 06:01:27 UTC 2024","1","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"skipped","Wed Apr 24 08:33:00 UTC 2024","Wed Apr 24 08:33:00 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Wed Apr 24 06:04:06 UTC 2024","Wed Apr 24 06:04:23 UTC 2024","16997","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Wed Apr 24 06:06:09 UTC 2024","Wed Apr 24 06:06:10 UTC 2024","1369","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Wed Apr 24 06:04:06 UTC 2024","Wed Apr 24 06:04:06 UTC 2024","188","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"skipped","Wed Apr 24 06:24:30 UTC 2024","Wed Apr 24 06:24:30 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Wed Apr 24 07:01:19 UTC 2024","Wed Apr 24 07:01:23 UTC 2024","4224","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Wed Apr 24 06:48:57 UTC 2024","Wed Apr 24 06:49:07 UTC 2024","10173","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Wed Apr 24 05:45:18 UTC 2024","Wed Apr 24 05:45:35 UTC 2024","16866","","9. Client Portal - Home","","","","1. Check links",""
"passed","Wed Apr 24 06:06:15 UTC 2024","Wed Apr 24 06:06:17 UTC 2024","1477","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Wed Apr 24 06:48:45 UTC 2024","Wed Apr 24 06:48:57 UTC 2024","12333","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"skipped","Wed Apr 24 06:01:27 UTC 2024","Wed Apr 24 06:01:27 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"skipped","Wed Apr 24 06:24:30 UTC 2024","Wed Apr 24 06:24:30 UTC 2024","1","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"failed","Wed Apr 24 06:34:24 UTC 2024","Wed Apr 24 06:37:28 UTC 2024","184541","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"skipped","Wed Apr 24 08:33:00 UTC 2024","Wed Apr 24 08:33:00 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"skipped","Wed Apr 24 06:01:27 UTC 2024","Wed Apr 24 06:01:27 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Wed Apr 24 06:03:33 UTC 2024","Wed Apr 24 06:03:48 UTC 2024","15538","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"broken","Wed Apr 24 06:01:27 UTC 2024","Wed Apr 24 06:01:27 UTC 2024","1","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
